country,happiness,mortality_under5_per_1k,log_gdp_per_capita,gini_percent,education_expected,taxes_percent_gdp,co2_per_capita
Burkina Faso,3.9630248547777773,97.6,3.199203863778606,39.78,7.770410000000001,16.266733907,0.120817204
Burundi,3.4913344385,82.9,2.873297433825169,33.27,10.10505,11.006974373666663,0.021908917000000003
Cambodia,4.0218446969,37.9,3.4688676797375844,31.82,10.90489,11.593074990999998,0.30780394899999997
Cameroon,4.401644062900001,94.5,3.437646564578793,40.72,10.398010000000001,14.765405937666664,0.267620307
Canada,7.4675598143999995,5.2,4.622152833611616,33.68,15.875,11.531947693,14.13581338
Central African Republic,3.8019495009999997,139.2,2.766692329775797,56.3,7.24332,9.455152885,0.064475205
Chad,3.9307889937999994,147.5,3.305693826303404,43.3,7.399760000000001,15.978896669666668,0.044623125
Chile,6.392216777900001,8.2,4.336740464512427,50.84,15.246189999999999,19.045658962,4.58786833
China,4.9249462128,12.7,4.061624636313764,37.01207517,13.07282,10.636195176000001,6.710301991000001
Colombia,6.3293211461,16.9,4.080099002832378,53.53,13.545539999999999,13.248179627999999,1.5383412980000002
Comoros,3.770586133,77.9,3.1460600471393776,64.3,11.49734,30.28677043433333,0.225189085
Costa Rica,7.201148939000001,9.6,4.1281000456598695,48.61,13.86196,13.641601406,1.6556021090000002
Croatia,5.591800391875,4.5,4.302398695851884,33.61,14.80786,19.57715941,4.8015300110000005
Cuba,5.417868614,6.2,4.274069884634883,47.08333333333334,13.82581,20.70166334033333,3.185683146
Cyprus,6.1041669249999995,3.6,4.437654497193564,28.53333333333333,13.96636,25.491247277,6.736166081
Czech Republic,6.45551395425,3.6,4.446523956616254,26.39,16.39,13.449078792,10.43108813
Denmark,7.7196665764,3.5,4.623151208701233,26.88,18.68933,33.395651011999995,7.248328717000001
Djibouti,4.822564959749999,69.6,3.462779147889792,39.96,6.394019999999999,15.774958768666663,0.558725843
Dominican Republic,5.0792770863,28.1,4.0717152717345915,45.68,13.08336,12.226953517,2.1569954780000002
Ecuador,5.686137199599999,22.5,4.022867696574915,46.57,14.17201,17.557782960666668,2.34333293
Egypt,4.6659533500000006,21.8,4.030740904219965,30.75,13.52824,13.164326092,2.78099524
El Salvador,5.8642705917999995,15.7,3.875933761615846,41.8,12.25576,14.532871972,1.068523404
Estonia,5.410651100999999,3.4,4.400227512779632,32.69,16.48454,16.250754108,14.04988252
Ethiopia,4.5214493275,64.4,3.1257194198597977,33.6,8.5,9.209358617000001,0.08438036199999999
Finland,7.4734883905,2.6,4.589342450200276,27.79,17.06943,20.001105144,10.1640461
France,6.686572218,4.2,4.5700107788196735,31.69,16.00167,21.38624496,5.185410609
Gabon,4.121366548599999,56.1,4.270594293252287,42.19,12.49507,17.223689073,1.4032762159999999
Georgia,4.0656715156,13.1,3.841749527980142,41.35,13.79685,24.118284956999997,1.769150524
Germany,6.7234334945,3.9,4.635550702021084,30.63,16.45695,11.518237027,8.917832846
Ghana,4.700103187799999,78.4,3.5870405782609325,42.76,11.50262,14.865870113,0.40613603
Greece,5.566533936333333,4.4,4.38986582976287,34.74,17.628,22.409940063,7.556057769
Guatemala,6.1971859932,31.0,3.8489603471219094,52.35,10.69,10.835960507000001,0.765486709
Guinea,3.7030186651999997,100.7,3.0838207469002086,33.68,8.70075,11.140034294666666,0.232605745
Guyana,5.992826462000001,36.6,3.8018117550791968,49.99333333333334,10.29144,14.33495714733333,2.253385461
Haiti,4.088129520374999,72.8,3.217062382698267,59.21,8.67,30.28677043433333,0.220395791
Honduras,5.1991096019,22.2,3.647898247571131,57.4,11.10111,14.719141872,1.081709663
Hungary,4.978661960999999,6.1,4.360099334308677,28.94,15.38815,22.868348232,4.862989931
Iceland,7.3696023225,2.1,4.61541878743562,26.3,18.97689,22.257849129,5.8968289789999995
India,4.7580945968999995,52.7,3.719167185993745,33.60168037,11.696589999999999,10.655413962,1.698672693
Indonesia,5.2265957357,29.3,3.9663493078137755,38.1406895,12.98776,11.43072588,2.3132928980000003
Iran,4.965218007625,16.8,4.178690598778463,38.28,15.09423,8.448795853,7.777322503
